customer_id,name,email,plan_type,monthly_charge,signup_date,last_login_date,support_tickets,tenure_days,churned,login_data_missing
2720,Kara Sanders MD,bcompton@example.net,Pro,39.99,2025-05-20,2026-04-01,2,422,1,False
2812,Melanie Garrett,sandraheath@example.net,Premium,19.99,2025-10-23,2026-07-11,0,266,0,False
1721,James Weber,jpowers@example.org,Basic,9.99,2026-03-23,2026-06-03,2,115,0,False
2914,Fred Ross,kelsey70@example.net,Pro,39.99,2025-09-18,2026-01-06,0,301,0,False
2333,Alicia Perez,ohernandez@example.net,Basic,9.99,2025-10-30,2026-01-22,2,259,1,False
1599,Daniel Taylor,shermandonna@example.com,Basic,9.99,2025-07-21,2025-12-08,0,360,0,False
2368,Crystal Gonzales,weaverchelsea@example.org,Pro,39.99,2024-09-02,2026-07-01,1,682,0,False
2429,James Hart,hmack@example.org,Basic,9.99,2025-12-30,2026-01-05,2,198,1,False
2629,Kristen Juarez,weberantonio@example.net,Pro,39.99,2025-02-21,2025-07-30,1,510,1,False
1654,Leslie Hernandez,butlerbradley@example.com,Pro,39.99,2025-12-10,2026-03-29,2,218,1,False
1532,Sean Kane,julieatkinson@example.org,Premium,19.99,2025-10-01,2026-04-01,2,288,1,False
1065,Karen Graham,marcus31@example.com,Basic,9.99,2026-03-24,2026-04-20,2,114,1,False
2983,Veronica Jones,nicholas90@example.org,Pro,39.99,2025-08-26,2026-07-01,3,324,1,False
1124,Brandon Simmons,nicholas27@example.org,Pro,39.99,2024-09-16,2024-11-12,4,668,1,False
1100,Lisa Allen,jesselittle@example.com,Premium,19.99,2025-01-09,2025-01-14,2,553,0,False
1900,Troy Williams DVM,davidthompson@example.net,Pro,39.99,2026-02-16,2026-07-05,1,150,0,False
1210,Jesse Davidson,ismall@example.net,Pro,39.99,2025-06-07,2025-08-23,1,404,1,False
2230,Heather Roberson,alyssa93@example.org,Premium,19.99,2026-05-07,2026-07-04,1,70,0,False
2523,Claire Jenkins,suttonbrittney@example.net,Premium,19.99,2026-01-12,2026-07-04,0,185,0,False
2181,Jose Moreno,wstrong@example.org,Basic,9.99,2025-04-22,2025-12-28,1,450,1,False
1905,Larry Jones,jennifergonzalez@example.org,Pro,39.99,2024-07-17,2026-04-06,2,729,1,False
1939,Anne Morris,hornjenna@example.com,Premium,19.99,2025-10-16,2026-03-22,1,273,0,False
2851,Mary Williams,chapmanjerome@example.org,Premium,19.99,2025-01-12,2026-03-22,1,550,1,False
2978,Megan Fitzgerald,andersoncynthia@example.org,Basic,9.99,2025-01-24,2026-02-12,1,538,1,False
1519,Christina Washington,johnsondarlene@example.com,Pro,39.99,2025-10-18,2026-03-09,2,271,1,False
1471,Brandon Mitchell,michael43@example.net,Premium,19.99,2026-05-20,2026-06-14,3,57,0,False
1705,Rebecca Harding,thomas96@example.com,Premium,19.99,2025-07-07,,1,374,0,True
2493,Lisa Baker,william23@example.net,Basic,9.99,2025-01-10,2025-04-28,3,552,1,False
1746,Roger Acosta,robertortiz@example.org,Basic,9.99,2024-08-04,2026-06-29,1,711,0,False
1196,Linda Romero,terickson@example.com,Pro,39.99,2026-02-06,2026-04-05,3,160,1,False
1630,Robin Jones,aaronfinley@example.com,Premium,19.99,2024-10-07,2025-09-18,0,647,0,False
1184,Scott Miller,debra96@example.net,Premium,19.99,2025-10-05,2026-02-23,3,284,1,False
1486,Kelly Le,jevans@example.net,Basic,9.99,2024-08-17,2024-10-25,1,698,1,False
1297,Jessica Bowen,samanthajensen@example.com,Basic,9.99,2026-03-08,2026-03-19,1,130,1,False
2954,Melissa Wolf,joneskevin@example.net,Premium,19.99,2026-04-12,2026-07-11,1,95,0,False
2785,Rose Mclaughlin,marymartinez@example.net,Premium,19.99,2024-10-23,2026-04-06,1,631,0,False
2758,Ryan Hood Jr.,troybrady@example.net,Basic,9.99,2025-07-22,2026-03-23,1,359,1,False
2820,Courtney Page,antonio01@example.org,Basic,9.99,2025-09-19,2026-06-18,1,300,0,False
1485,Robert Rodgers,lshaffer@example.com,Basic,9.99,2025-06-29,2026-07-14,1,382,0,False
2385,Brianna Peterson,randy61@example.net,Premium,19.99,2026-02-05,2026-06-27,0,161,0,False
2262,Christopher Hernandez,paul70@example.com,Pro,39.99,2026-05-16,,0,61,1,True
2677,Amy Mccoy,ballvanessa@example.com,Basic,9.99,2025-04-06,2025-05-29,3,466,1,False
1411,Sydney Farmer,raymond54@example.com,Premium,19.99,2026-01-29,2026-02-21,1,168,1,False
1495,David Mitchell,davidroberson@example.org,Premium,19.99,2024-08-08,2025-04-17,0,707,0,False
1720,Karen Clark,pearsonkevin@example.com,Basic,9.99,2025-05-14,2025-12-31,1,428,1,False
1316,Matthew Sweeney,dalton83@example.com,Pro,39.99,2025-06-24,,3,387,1,True
1759,Marcus Chavez,jasonwilliams@example.net,Basic,9.99,2025-01-29,,3,533,1,True
2222,Daniel Rivera,frankespinoza@example.com,Premium,19.99,2024-07-21,2025-05-18,1,725,0,False
1807,Bryan Bailey PhD,tolson@example.net,Premium,19.99,2025-05-27,2025-10-14,1,415,1,False
1069,Matthew Wood,ronald85@example.com,Pro,39.99,2025-11-18,2026-01-22,0,240,1,False
1212,Scott Prince,frobertson@example.com,Pro,39.99,2025-10-26,2025-12-13,1,263,1,False
2702,Brandi Brown,cassandra18@example.net,Premium,19.99,2026-01-06,2026-03-01,0,191,0,False
1529,Henry Taylor,pamela33@example.com,Pro,39.99,2026-02-02,2026-02-17,1,164,1,False
2322,Nathan Harrison,harringtonpeter@example.net,Pro,39.99,2025-06-20,2025-10-07,0,391,1,False
2671,Michelle Velasquez,holmesamber@example.org,Basic,9.99,2026-01-25,2026-03-07,1,172,1,False
1382,Kiara Smith,simsjohn@example.net,Premium,19.99,2026-03-20,2026-04-25,0,118,1,False
1099,James Thomas,yknight@example.org,Pro,39.99,2024-11-10,2024-12-28,0,613,1,False
1832,Sierra Daniel,james08@example.net,Premium,19.99,2025-01-08,2025-11-14,2,554,0,False
1247,Anna Rice,hallrachel@example.net,Pro,39.99,2026-03-28,2026-05-19,2,110,0,False
2883,Kyle David,agalvan@example.com,Pro,39.99,2025-05-23,,0,419,1,True
2998,Wendy Nelson,mvelazquez@example.net,Pro,39.99,2025-04-08,2026-04-17,1,464,0,False
2270,Andrew Rodriguez,schmidtrandy@example.org,Basic,9.99,2024-09-11,2024-11-13,0,673,1,False
2802,Jose Lopez,zglass@example.org,Premium,19.99,2024-12-03,2025-05-16,1,590,1,False
1949,Catherine Peters,david29@example.org,Basic,9.99,2025-10-14,2025-11-07,3,275,1,False
1548,Chad Blair,robertberry@example.com,Basic,9.99,2026-05-25,2026-07-11,0,52,0,False
1543,Matthew Smith,qguerrero@example.net,Premium,19.99,2025-03-24,2025-05-14,2,479,0,False
2412,Nicole Duncan,daniellestevenson@example.net,Basic,9.99,2024-08-03,2026-06-22,2,712,0,False
1438,Kevin Lynn,david31@example.com,Premium,19.99,2025-09-21,2026-06-16,0,298,0,False
2601,Melissa Patrick,stephanie44@example.net,Pro,39.99,2025-11-20,2026-02-23,0,238,0,False
2284,Richard Navarro,wpierce@example.org,Premium,19.99,2025-05-03,2026-01-21,2,439,0,False
1299,Danielle Burke,kimberly04@example.org,Premium,19.99,2025-07-12,2026-01-16,1,369,1,False
1962,Vanessa Zimmerman,erikabarnes@example.com,Premium,19.99,2024-11-20,,0,603,1,True
1514,Andrew Mann,amy73@example.net,Premium,19.99,2024-11-22,2025-06-18,4,601,1,False
2335,Alexander Guzman,chanamber@example.org,Premium,19.99,2025-03-01,2025-08-06,2,502,1,False
2285,Jack Garcia,wayne86@example.org,Premium,19.99,2026-03-08,2026-05-11,1,130,0,False
2078,Richard Martinez,haley53@example.com,Premium,19.99,2025-08-16,2025-12-01,0,334,0,False
1429,Natalie Graham,burgesseric@example.com,Pro,39.99,2025-11-28,2025-12-06,0,230,1,False
1321,Randy Hayes,hbaker@example.org,Pro,39.99,2024-11-02,2026-01-02,1,621,0,False
1427,Katelyn Phillips,lukemiller@example.org,Pro,39.99,2024-11-09,2026-06-19,1,614,0,False
2316,Christine Powers,eric62@example.org,Pro,39.99,2025-09-15,2025-11-01,0,304,1,False
1812,Kelly Christensen,martinezsharon@example.org,Basic,9.99,2026-05-19,2026-06-03,2,58,0,False
1940,John Merritt,jefferygoodman@example.net,Premium,19.99,2025-10-13,2026-01-20,1,276,1,False
2233,Tammie Lee,harold03@example.com,Basic,9.99,2025-03-24,2025-06-25,2,479,0,False
1275,Hannah Bruce,lisamccarthy@example.com,Premium,19.99,2026-04-19,2026-06-09,0,88,0,False
1254,James Ward,smithkyle@example.com,Premium,19.99,2025-12-29,2026-01-18,1,199,0,False
2564,Sarah Werner,brandon31@example.net,Premium,19.99,2026-04-17,,5,90,1,True
2054,Ryan Barker,swalters@example.net,Pro,39.99,2026-05-02,2026-07-08,0,75,1,False
1922,Isabella Montgomery,qrobertson@example.org,Pro,39.99,2024-07-17,,4,729,1,True
2769,Roy Cook,josephjohnson@example.com,Pro,39.99,2024-12-09,2025-06-06,0,584,0,False
1964,Jennifer Edwards,walterschase@example.org,Pro,39.99,2026-05-07,2026-05-18,2,70,0,False
1432,Ryan Howard,robertsgina@example.net,Pro,39.99,2024-09-13,2026-02-08,0,671,0,False
1937,Shannon Luna,tracey20@example.net,Basic,9.99,2025-04-15,2025-10-25,0,457,1,False
1786,Jessica Bryant,villegaskimberly@example.net,Premium,19.99,2026-01-13,,1,184,1,True
1693,Blake Vazquez,joneskim@example.com,Basic,9.99,2024-08-13,2024-10-27,0,702,0,False
1849,Erin Singh,richardmckenzie@example.org,Basic,9.99,2025-03-25,2025-04-29,3,478,1,False
1944,Michael Pope,stricklandmichelle@example.net,Premium,19.99,2025-04-08,2026-01-26,0,464,1,False
2619,Matthew Powers,bmartin@example.org,Pro,39.99,2025-12-07,2026-02-24,1,221,0,False
1561,Matthew Davis,whitebrenda@example.net,Premium,19.99,2025-08-01,2025-12-16,0,349,1,False
2144,Jeanette Howard,tammyjones@example.net,Basic,9.99,2024-12-30,2025-10-17,2,563,1,False
1305,Melanie Jones,pblair@example.org,Premium,19.99,2025-01-02,2026-06-03,2,560,0,False
2187,Tony Khan,russellramirez@example.net,Premium,19.99,2025-02-20,2025-08-16,0,511,0,False
2566,Thomas Perez,garrett13@example.org,Pro,39.99,2025-09-22,2026-03-11,2,297,0,False
1607,Darius Coleman,lanemelanie@example.org,Pro,39.99,2025-11-25,2026-01-26,2,233,1,False
1115,Maria Brown,james17@example.org,Pro,39.99,2025-10-21,2026-04-10,5,268,0,False
2716,Laura Bennett,maria99@example.net,Basic,9.99,2025-12-07,,2,221,0,True
1231,Darin Mathews,lindamelendez@example.net,Premium,19.99,2025-04-29,2025-10-30,2,443,0,False
2878,Brian Chen,jeremy00@example.net,Basic,9.99,2026-04-28,2026-05-31,1,79,1,False
2831,Jessica Hernandez,brenda83@example.org,Pro,39.99,2025-11-16,2026-03-10,0,242,1,False
2724,Bridget Guerrero,bowerspatrick@example.com,Premium,19.99,2025-03-13,2026-01-15,0,490,1,False
1982,Anthony Russell,isabel33@example.com,Basic,9.99,2025-05-09,2025-06-04,1,433,0,False
1752,Tammy Campbell,chloe48@example.com,Premium,19.99,2025-05-16,2025-07-25,1,426,0,False
1610,Toni Miller,chloe58@example.org,Basic,9.99,2025-06-08,2025-12-31,0,403,0,False
1534,Jeremy Larson,walkerkeith@example.com,Premium,19.99,2024-10-26,2025-05-25,3,628,1,False
2488,Maria Foster,amydavis@example.org,Premium,19.99,2025-05-24,2025-07-11,0,418,1,False
1650,Daniel Lynch,paultaylor@example.net,Pro,39.99,2024-11-27,2025-06-28,0,596,1,False
2922,Brenda Phillips,kristendavis@example.net,Pro,39.99,2026-01-24,2026-05-15,0,173,1,False
1943,Jennifer Johnson,randyturner@example.net,Basic,9.99,2026-05-14,2026-06-24,1,63,0,False
2302,Kelly Gray,hwong@example.com,Premium,19.99,2024-11-14,2026-05-14,0,609,0,False
2775,Chad Rivera,ubutler@example.net,Basic,9.99,2025-07-04,2026-04-28,0,377,0,False
1433,James Guerrero,omoore@example.org,Pro,39.99,2025-12-19,2026-06-03,0,209,0,False
1120,Theresa Williams,stephen00@example.com,Pro,39.99,2026-02-28,2026-04-27,2,138,0,False
2393,Amy Forbes,castroangelica@example.org,Premium,19.99,2026-04-03,2026-05-22,2,104,1,False
2755,Matthew Davis,joestephens@example.com,Pro,39.99,2025-04-14,2025-07-12,1,458,0,False
2454,Katherine Adams,fsellers@example.net,Premium,19.99,2026-04-15,2026-07-03,1,92,0,False
2040,Hannah Mcdonald,lrodriguez@example.net,Pro,39.99,2024-09-28,2026-06-19,1,656,0,False
2476,Stephanie Sheppard,jeanlynch@example.org,Pro,39.99,2025-06-22,2025-12-21,0,389,0,False
2548,Keith Medina,jonathanjones@example.org,Pro,39.99,2026-05-22,2026-07-05,2,55,0,False
1135,Justin Barnett,charles06@example.org,Premium,19.99,2025-06-01,,2,410,1,True
2694,Cynthia Hendricks,taraholloway@example.org,Premium,19.99,2026-02-14,2026-03-25,0,152,1,False
1755,Nathan Hernandez,clayton42@example.org,Premium,19.99,2025-12-21,2026-06-09,1,207,0,False
1993,Rachel Gibson,kevin34@example.net,Basic,9.99,2025-01-18,2025-03-23,0,544,1,False
1554,Michael Woods,xjoseph@example.org,Basic,9.99,2026-03-03,2026-05-08,0,135,0,False
1694,Kayla Brown,kerrbradley@example.com,Basic,9.99,2025-10-25,2026-05-12,0,264,0,False
2193,Courtney Jones,williamhill@example.net,Premium,19.99,2025-12-11,2026-05-05,1,217,0,False
2741,Dustin Brown,qharris@example.org,Premium,19.99,2025-04-19,2025-12-16,1,453,1,False
1886,Kim Ramos,copelandlisa@example.net,Premium,19.99,2025-10-21,2026-04-15,1,268,1,False
1109,Regina Diaz,ismith@example.org,Basic,9.99,2025-05-29,2026-03-02,2,413,1,False
2442,Heather Manning,kylejones@example.net,Premium,19.99,2026-04-12,2026-06-06,0,95,0,False
2892,Sean Peters,ecohen@example.com,Pro,39.99,2025-03-19,2025-03-25,1,484,0,False
1756,Mary Lewis,foxashley@example.com,Premium,19.99,2026-04-20,2026-05-11,2,87,0,False
1588,Joshua Dunn,donald49@example.org,Pro,39.99,2024-11-11,2025-05-20,1,612,1,False
1237,Jacqueline Gutierrez,joycesmith@example.net,Premium,19.99,2026-04-30,2026-06-13,4,77,0,False
2857,Joshua Martinez,josephross@example.net,Premium,19.99,2025-07-01,2026-02-19,1,380,0,False
2160,Hannah Johnson,sandra49@example.org,Basic,9.99,2025-12-27,2026-03-05,1,201,0,False
1063,Dr. Hannah Patterson,casey50@example.com,Basic,9.99,2026-02-10,2026-02-26,0,156,1,False
1792,George Morales,ryanlong@example.org,Premium,19.99,2025-10-20,2026-04-10,1,269,1,False
1909,David Woods,crystal02@example.com,Premium,19.99,2025-09-11,2026-06-28,0,308,0,False
2953,Christina Merritt,smithmichael@example.org,Basic,9.99,2026-03-21,2026-05-10,1,117,1,False
1281,Reginald Morrow,amber07@example.net,Pro,39.99,2024-12-14,2025-08-17,2,579,0,False
1818,Debra Flores,bjones@example.com,Basic,9.99,2025-10-01,2026-06-21,0,288,0,False
2599,Derek Carter PhD,deckerjustin@example.org,Pro,39.99,2025-06-03,2026-05-16,1,408,0,False
1990,Kathy Johnson,heather24@example.org,Pro,39.99,2026-05-15,2026-05-18,1,62,1,False
1324,Riley Martinez,greertoni@example.org,Premium,19.99,2024-11-30,2025-07-25,0,593,1,False
2273,Ashley Hunt,morgandana@example.com,Pro,39.99,2025-05-06,2025-05-15,5,436,1,False
2177,Suzanne Valdez,shanebarnes@example.net,Pro,39.99,2026-02-14,2026-07-13,1,152,1,False
2959,Michael Downs,andrewlong@example.com,Premium,19.99,2025-04-04,2026-05-05,2,468,1,False
2980,Amanda Frank,wesleybutler@example.org,Basic,9.99,2025-04-26,2025-10-19,0,446,0,False
2483,Jeremy Edwards,stephen39@example.com,Premium,19.99,2025-01-30,2025-12-08,1,532,0,False
2370,Michael Glenn,oblake@example.net,Basic,9.99,2024-09-25,2026-07-14,0,659,0,False
2352,Mary Meyer,kathleen25@example.com,Premium,19.99,2025-04-03,2025-06-10,0,469,1,False
1251,Jeffrey Roberson,cassie99@example.com,Premium,19.99,2026-05-24,2026-06-10,3,53,0,False
2120,Marc Yoder,brian62@example.com,Premium,19.99,2025-10-27,2026-02-25,1,262,0,False
2618,Alexis Jordan,deborah70@example.org,Basic,9.99,2024-10-13,2026-02-05,1,641,1,False
1614,Christopher Vargas,donnawood@example.org,Basic,9.99,2025-01-13,2026-02-01,2,549,0,False
1570,Matthew Graves,tammycurry@example.com,Premium,19.99,2026-04-28,2026-05-05,1,79,1,False
2450,Sydney Burns,brettallen@example.com,Premium,19.99,2025-01-15,2026-07-13,1,547,0,False
2873,Elizabeth Taylor,harold46@example.com,Pro,39.99,2025-11-04,2026-01-12,2,254,1,False
1298,Paul Lawrence,bbell@example.com,Premium,19.99,2026-01-19,2026-03-04,3,178,1,False
1121,Micheal Wallace,morriseddie@example.org,Basic,9.99,2025-01-23,2025-12-30,3,539,1,False
2580,Carol Gay,juliehoffman@example.org,Premium,19.99,2024-08-01,2025-01-04,0,714,0,False
1023,Carol Tucker,michellebarrera@example.org,Pro,39.99,2025-04-06,2026-07-09,1,466,0,False
1354,Lisa Martinez,kthompson@example.org,Basic,9.99,2026-01-31,2026-02-20,1,166,1,False
1857,James Khan,victor72@example.com,Basic,9.99,2025-11-25,2026-03-27,3,233,1,False
2007,Danny Perez,phernandez@example.com,Basic,9.99,2024-12-20,2026-05-07,2,573,1,False
2179,William Johnston,rachelwalter@example.org,Pro,39.99,2024-11-08,2025-07-23,1,615,1,False
1544,Stephen Hughes,tromero@example.org,Pro,39.99,2026-04-08,2026-05-25,0,99,1,False
1572,Denise Rose,heathersalazar@example.org,Basic,9.99,2025-08-18,2026-07-09,5,332,1,False
1613,Jonathan York,johnathan94@example.com,Basic,9.99,2026-03-07,2026-03-08,2,131,1,False
1049,Ryan Bryant,jcontreras@example.net,Pro,39.99,2025-02-22,2026-03-13,1,509,1,False
1173,Holly Reyes,jacobserika@example.com,Premium,19.99,2025-04-01,2026-03-26,0,471,0,False
2731,Amy Russell,michelleboyd@example.net,Premium,19.99,2026-05-10,2026-06-22,0,67,0,False
1480,Diana Walker,brianlloyd@example.com,Pro,39.99,2026-05-03,2026-05-05,0,74,1,False
1733,Alisha Rasmussen,skinnereileen@example.org,Pro,39.99,2025-11-10,2026-05-24,0,248,1,False
2567,Shelby Delacruz,keithharrison@example.com,Basic,9.99,2026-04-02,2026-04-26,2,105,1,False
1478,Luke Moore,wilsonchristian@example.net,Basic,9.99,2025-06-24,2025-06-26,5,387,1,False
2164,Heidi Hopkins,martinezashley@example.com,Pro,39.99,2026-02-20,2026-06-23,2,146,0,False
2380,Patricia Martin,joy52@example.com,Pro,39.99,2026-03-06,2026-04-19,1,132,1,False
2884,Jennifer Baker MD,ujones@example.org,Pro,39.99,2026-04-19,2026-04-23,2,88,1,False
2710,Catherine Armstrong,fsims@example.com,Basic,9.99,2025-12-31,2026-05-06,1,197,0,False
2874,Shannon Austin,djimenez@example.com,Basic,9.99,2026-01-18,2026-03-05,1,179,0,False
2699,Kelly Smith,jasonjohnson@example.org,Basic,9.99,2025-08-29,2025-12-14,4,321,1,False
1741,Michael Serrano,james65@example.org,Pro,39.99,2025-04-16,2025-10-05,1,456,1,False
2917,Kaitlyn Cooley,eharrington@example.com,Pro,39.99,2024-08-05,2026-02-26,1,710,1,False
2113,Harold Flowers,kingmichael@example.com,Basic,9.99,2026-01-15,2026-04-16,2,182,0,False
1256,Sharon Smith,fhughes@example.net,Pro,39.99,2026-04-06,2026-07-06,2,101,0,False
1366,Nicole Barker,anthony02@example.net,Premium,19.99,2026-01-11,2026-02-19,1,186,0,False
1368,Lindsay Smith,charlene44@example.com,Premium,19.99,2026-04-02,2026-06-30,1,105,0,False
2817,William Conrad,nmartinez@example.org,Premium,19.99,2025-06-15,2026-01-21,1,396,0,False
2323,Jaime Garcia,joshua57@example.com,Pro,39.99,2024-09-30,2024-12-26,1,654,1,False
2379,Heather Sheppard,sean05@example.com,Pro,39.99,2025-11-16,,2,242,0,True
2988,Elizabeth Johnson,mmyers@example.net,Pro,39.99,2025-02-14,2026-03-19,2,517,1,False
